opcion,votos,provincia,municipio
Abstención,13845,Girona,Residentes ausentes en el extranjero
Votos nulos,2,Girona,Residentes ausentes en el extranjero
Votos en blanco,12,Girona,Residentes ausentes en el extranjero
JxSí,848,Girona,Residentes ausentes en el extranjero
CUP,146,Girona,Residentes ausentes en el extranjero
C's,100,Girona,Residentes ausentes en el extranjero
PP,88,Girona,Residentes ausentes en el extranjero
PSC,80,Girona,Residentes ausentes en el extranjero
CatSíqueesPot,68,Girona,Residentes ausentes en el extranjero
unio.cat,50,Girona,Residentes ausentes en el extranjero
RECORTES CERO-ELS VERDS,12,Girona,Residentes ausentes en el extranjero
PACMA,11,Girona,Residentes ausentes en el extranjero
GANEMOS,3,Girona,Residentes ausentes en el extranjero
PIRATA.CAT/XDT,1,Girona,Residentes ausentes en el extranjero
Abstención,140468,Barcelona,Residentes ausentes en el extranjero
Votos nulos,82,Barcelona,Residentes ausentes en el extranjero
Votos en blanco,31,Barcelona,Residentes ausentes en el extranjero
JxSí,5678,Barcelona,Residentes ausentes en el extranjero
Abstención,159,Girona,Bordils
Votos nulos,5,Girona,Bordils
Votos en blanco,1,Girona,Bordils
JxSí,671,Girona,Bordils
Abstención,70,Girona,Borrassà
Votos nulos,2,Girona,Borrassà
Votos en blanco,1,Girona,Borrassà
Abstención,1554,Girona,"Bisbal d'Empordà, la"
Votos nulos,22,Girona,"Bisbal d'Empordà, la"
Votos en blanco,22,Girona,"Bisbal d'Empordà, la"
CUP,1189,Barcelona,Residentes ausentes en el extranjero
C's,1159,Barcelona,Residentes ausentes en el extranjero
CatSíqueesPot,1027,Barcelona,Residentes ausentes en el extranjero
PSC,815,Barcelona,Residentes ausentes en el extranjero
PP,629,Barcelona,Residentes ausentes en el extranjero
unio.cat,297,Barcelona,Residentes ausentes en el extranjero
PACMA,112,Barcelona,Residentes ausentes en el extranjero
RECORTES CERO-ELS VERDS,62,Barcelona,Residentes ausentes en el extranjero
CUP,121,Girona,Bordils
PP,41,Girona,Bordils
PSC,36,Girona,Bordils
C's,36,Girona,Bordils
unio.cat,24,Girona,Bordils
CatSíqueesPot,21,Girona,Bordils
JxSí,339,Girona,Borrassà
C's,40,Girona,Borrassà
CUP,37,Girona,Borrassà
PSC,13,Girona,Borrassà
unio.cat,12,Girona,Borrassà
CatSíqueesPot,11,Girona,Borrassà
PP,9,Girona,Borrassà
GANEMOS,1,Girona,Borrassà
RECORTES CERO-ELS VERDS,1,Girona,Borrassà
JxSí,3125,Girona,"Bisbal d'Empordà, la"
CUP,679,Girona,"Bisbal d'Empordà, la"
PSC,549,Girona,"Bisbal d'Empordà, la"
C's,380,Girona,"Bisbal d'Empordà, la"
PP,244,Girona,"Bisbal d'Empordà, la"
CatSíqueesPot,210,Girona,"Bisbal d'Empordà, la"
unio.cat,100,Girona,"Bisbal d'Empordà, la"
PACMA,17,Girona,"Bisbal d'Empordà, la"
RECORTES CERO-ELS VERDS,7,Girona,"Bisbal d'Empordà, la"
PIRATA.CAT/XDT,4,Girona,"Bisbal d'Empordà, la"
GANEMOS,3,Girona,"Bisbal d'Empordà, la"
Abstención,25,Girona,Beuda
JxSí,66,Girona,Beuda
Abstención,518,Girona,Bescanó
Votos nulos,32,Girona,Bescanó
Votos en blanco,24,Girona,Bescanó
Abstención,36,Girona,Biure
Votos en blanco,2,Girona,Biure
Abstención,38,Girona,Boadella i les Escaules
Votos nulos,1,Girona,Boadella i les Escaules
Votos en blanco,2,Girona,Boadella i les Escaules
JxSí,97,Girona,Boadella i les Escaules
Abstención,7060,Girona,Blanes
Abstención,56,Girona,Bolvir
Votos nulos,3,Girona,Bolvir
Votos en blanco,4,Girona,Bolvir
JxSí,157,Girona,Bolvir
Abstención,269,Girona,Besalú
Abstención,70,Girona,Bellcaire d'Empordà
Votos nulos,2,Girona,Bellcaire d'Empordà
Votos en blanco,2,Girona,Bellcaire d'Empordà
CUP,29,Girona,Beuda
PSC,12,Girona,Beuda
CatSíqueesPot,3,Girona,Beuda
C's,2,Girona,Beuda
RECORTES CERO-ELS VERDS,1,Girona,Beuda
unio.cat,1,Girona,Beuda
JxSí,2219,Girona,Bescanó
CUP,271,Girona,Bescanó
C's,158,Girona,Bescanó
PSC,114,Girona,Bescanó
CatSíqueesPot,102,Girona,Bescanó
PP,76,Girona,Bescanó
unio.cat,49,Girona,Bescanó
PACMA,7,Girona,Bescanó
PIRATA.CAT/XDT,3,Girona,Bescanó
RECORTES CERO-ELS VERDS,3,Girona,Bescanó
JxSí,77,Girona,Biure
PP,21,Girona,Biure
CUP,20,Girona,Biure
PSC,9,Girona,Biure
C's,9,Girona,Biure
CatSíqueesPot,5,Girona,Biure
unio.cat,4,Girona,Biure
CUP,25,Girona,Boadella i les Escaules
PP,12,Girona,Boadella i les Escaules
C's,10,Girona,Boadella i les Escaules
PSC,5,Girona,Boadella i les Escaules
CatSíqueesPot,5,Girona,Boadella i les Escaules
unio.cat,4,Girona,Boadella i les Escaules
PACMA,1,Girona,Boadella i les Escaules
PIRATA.CAT/XDT,1,Girona,Boadella i les Escaules
Votos nulos,154,Girona,Blanes
Votos en blanco,122,Girona,Blanes
JxSí,6682,Girona,Blanes
C's,4127,Girona,Blanes
PSC,2845,Girona,Blanes
CatSíqueesPot,2585,Girona,Blanes
PP,1669,Girona,Blanes
CUP,1428,Girona,Blanes
unio.cat,411,Girona,Blanes
PACMA,143,Girona,Blanes
RECORTES CERO-ELS VERDS,73,Girona,Blanes
GANEMOS,17,Girona,Blanes
PIRATA.CAT/XDT,11,Girona,Blanes
unio.cat,16,Girona,Bolvir
C's,13,Girona,Bolvir
PP,12,Girona,Bolvir
CUP,11,Girona,Bolvir
PSC,5,Girona,Bolvir
CatSíqueesPot,3,Girona,Bolvir
PACMA,1,Girona,Bolvir
Votos nulos,9,Girona,Besalú
Votos en blanco,7,Girona,Besalú
JxSí,1145,Girona,Besalú
CUP,128,Girona,Besalú
PSC,86,Girona,Besalú
CatSíqueesPot,36,Girona,Besalú
PP,35,Girona,Besalú
C's,32,Girona,Besalú
unio.cat,24,Girona,Besalú
PIRATA.CAT/XDT,3,Girona,Besalú
GANEMOS,1,Girona,Besalú
RECORTES CERO-ELS VERDS,1,Girona,Besalú
JxSí,295,Girona,Bellcaire d'Empordà
CUP,43,Girona,Bellcaire d'Empordà
PSC,30,Girona,Bellcaire d'Empordà
C's,15,Girona,Bellcaire d'Empordà
CatSíqueesPot,12,Girona,Bellcaire d'Empordà
unio.cat,10,Girona,Bellcaire d'Empordà
PP,6,Girona,Bellcaire d'Empordà
RECORTES CERO-ELS VERDS,2,Girona,Bellcaire d'Empordà
PACMA,1,Girona,Bellcaire d'Empordà
Abstención,571,Girona,Begur
Votos nulos,9,Girona,Begur
Votos en blanco,3,Girona,Begur
JxSí,1098,Girona,Begur
C's,366,Girona,Begur
PSC,244,Girona,Begur
Abstención,13661,Tarragona,Residentes ausentes en el extranjero
Votos nulos,4,Tarragona,Residentes ausentes en el extranjero
Votos en blanco,4,Tarragona,Residentes ausentes en el extranjero
JxSí,511,Tarragona,Residentes ausentes en el extranjero
C's,101,Tarragona,Residentes ausentes en el extranjero
Abstención,298,Tarragona,Falset
Votos nulos,4,Tarragona,Falset
Votos en blanco,11,Tarragona,Falset
JxSí,1164,Tarragona,Falset
Abstención,111,Girona,Bàscara
Votos nulos,4,Girona,Bàscara
Votos en blanco,7,Girona,Bàscara
Abstención,2288,Girona,Banyoles
Votos nulos,44,Girona,Banyoles
Votos en blanco,34,Girona,Banyoles
JxSí,7270,Girona,Banyoles
Abstención,22,Tarragona,"Bisbal de Falset, la"
Votos en blanco,3,Tarragona,"Bisbal de Falset, la"
JxSí,115,Tarragona,"Bisbal de Falset, la"
unio.cat,9,Tarragona,"Bisbal de Falset, la"
CUP,8,Tarragona,"Bisbal de Falset, la"
Abstención,143,Tarragona,Benissanet
Votos nulos,6,Tarragona,Benissanet
Votos en blanco,6,Tarragona,Benissanet
JxSí,472,Tarragona,Benissanet
Abstención,135,Tarragona,Benifallet
Votos nulos,4,Tarragona,Benifallet
Votos en blanco,3,Tarragona,Benifallet
JxSí,257,Tarragona,Benifallet
PSC,91,Tarragona,Benifallet
CUP,141,Girona,Begur
PP,135,Girona,Begur
CatSíqueesPot,128,Girona,Begur
unio.cat,50,Girona,Begur
PACMA,22,Girona,Begur
RECORTES CERO-ELS VERDS,5,Girona,Begur
GANEMOS,3,Girona,Begur
PIRATA.CAT/XDT,2,Girona,Begur
CUP,83,Tarragona,Residentes ausentes en el extranjero
PSC,80,Tarragona,Residentes ausentes en el extranjero
PP,70,Tarragona,Residentes ausentes en el extranjero
CatSíqueesPot,63,Tarragona,Residentes ausentes en el extranjero
unio.cat,29,Tarragona,Residentes ausentes en el extranjero
PACMA,10,Tarragona,Residentes ausentes en el extranjero
RECORTES CERO-ELS VERDS,10,Tarragona,Residentes ausentes en el extranjero
GANEMOS,1,Tarragona,Residentes ausentes en el extranjero
CUP,142,Tarragona,Falset
PSC,135,Tarragona,Falset
C's,62,Tarragona,Falset
PP,60,Tarragona,Falset
unio.cat,53,Tarragona,Falset
CatSíqueesPot,32,Tarragona,Falset
PACMA,8,Tarragona,Falset
GANEMOS,1,Tarragona,Falset
JxSí,405,Girona,Bàscara
CUP,68,Girona,Bàscara
C's,35,Girona,Bàscara
PP,32,Girona,Bàscara
PSC,32,Girona,Bàscara
CatSíqueesPot,16,Girona,Bàscara
unio.cat,9,Girona,Bàscara
PIRATA.CAT/XDT,1,Girona,Bàscara
PACMA,1,Girona,Bàscara
CUP,1064,Girona,Banyoles
C's,505,Girona,Banyoles
PSC,407,Girona,Banyoles
PP,370,Girona,Banyoles
CatSíqueesPot,270,Girona,Banyoles
unio.cat,183,Girona,Banyoles
PACMA,24,Girona,Banyoles
RECORTES CERO-ELS VERDS,11,Girona,Banyoles
GANEMOS,6,Girona,Banyoles
PIRATA.CAT/XDT,2,Girona,Banyoles
PP,5,Tarragona,"Bisbal de Falset, la"
PSC,4,Tarragona,"Bisbal de Falset, la"
C's,2,Tarragona,"Bisbal de Falset, la"
PP,39,Tarragona,Benissanet
C's,38,Tarragona,Benissanet
PSC,36,Tarragona,Benissanet
CUP,31,Tarragona,Benissanet
unio.cat,18,Tarragona,Benissanet
PP,36,Tarragona,Benifallet
CUP,34,Tarragona,Benifallet
C's,25,Tarragona,Benifallet
CatSíqueesPot,12,Tarragona,Benifallet
unio.cat,9,Tarragona,Benifallet
PACMA,1,Tarragona,Benifallet
RECORTES CERO-ELS VERDS,1,Tarragona,Benifallet
Abstención,205,Barcelona,"Pobla de Lillet, la"
Votos nulos,5,Barcelona,"Pobla de Lillet, la"
Votos en blanco,9,Barcelona,"Pobla de Lillet, la"
JxSí,531,Barcelona,"Pobla de Lillet, la"
PSC,90,Barcelona,"Pobla de Lillet, la"
CUP,68,Barcelona,"Pobla de Lillet, la"
Abstención,331,Barcelona,"Pobla de Claramunt, la"
Votos nulos,1,Barcelona,"Pobla de Claramunt, la"
Votos en blanco,5,Barcelona,"Pobla de Claramunt, la"
JxSí,670,Barcelona,"Pobla de Claramunt, la"
PSC,163,Barcelona,"Pobla de Claramunt, la"
CUP,141,Barcelona,"Pobla de Claramunt, la"
Abstención,141,Barcelona,"Pla del Penedès, el"
CatSíqueesPot,6,Tarragona,Benissanet
C's,28,Barcelona,"Pobla de Lillet, la"
unio.cat,28,Barcelona,"Pobla de Lillet, la"
CatSíqueesPot,24,Barcelona,"Pobla de Lillet, la"
PP,23,Barcelona,"Pobla de Lillet, la"
PACMA,3,Barcelona,"Pobla de Lillet, la"
RECORTES CERO-ELS VERDS,1,Barcelona,"Pobla de Lillet, la"
C's,140,Barcelona,"Pobla de Claramunt, la"
CatSíqueesPot,76,Barcelona,"Pobla de Claramunt, la"
PP,63,Barcelona,"Pobla de Claramunt, la"
unio.cat,46,Barcelona,"Pobla de Claramunt, la"
PACMA,10,Barcelona,"Pobla de Claramunt, la"
RECORTES CERO-ELS VERDS,5,Barcelona,"Pobla de Claramunt, la"
Votos nulos,1,Barcelona,"Pla del Penedès, el"
Votos en blanco,2,Barcelona,"Pla del Penedès, el"
JxSí,466,Barcelona,"Pla del Penedès, el"
CUP,136,Barcelona,"Pla del Penedès, el"
C's,54,Barcelona,"Pla del Penedès, el"
PSC,45,Barcelona,"Pla del Penedès, el"
CatSíqueesPot,34,Barcelona,"Pla del Penedès, el"
PP,21,Barcelona,"Pla del Penedès, el"
unio.cat,10,Barcelona,"Pla del Penedès, el"
PACMA,1,Barcelona,"Pla del Penedès, el"
Abstención,4730,Barcelona,Pineda de Mar
Votos nulos,38,Barcelona,Pineda de Mar
Votos en blanco,63,Barcelona,Pineda de Mar
JxSí,4932,Barcelona,Pineda de Mar
C's,2593,Barcelona,Pineda de Mar
Abstención,2886,Barcelona,Piera
Votos nulos,47,Barcelona,Piera
Votos en blanco,42,Barcelona,Piera
JxSí,2991,Barcelona,Piera
C's,1645,Barcelona,Piera
Abstención,63,Barcelona,Perafita
Votos en blanco,1,Barcelona,Perafita
JxSí,197,Barcelona,Perafita
CUP,31,Barcelona,Perafita
unio.cat,11,Barcelona,Perafita
Abstención,2994,Barcelona,Parets del Vallès
Votos nulos,40,Barcelona,Parets del Vallès
Votos en blanco,53,Barcelona,Parets del Vallès
JxSí,3526,Barcelona,Parets del Vallès
C's,2460,Barcelona,Parets del Vallès
PSC,1673,Barcelona,Parets del Vallès
Abstención,673,Barcelona,"Papiol, el"
Votos nulos,12,Barcelona,"Papiol, el"
Votos en blanco,15,Barcelona,"Papiol, el"
JxSí,1084,Barcelona,"Papiol, el"
C's,363,Barcelona,"Papiol, el"
Abstención,4,Lleida,Riu de Cerdanya
Votos nulos,1,Lleida,Riu de Cerdanya
JxSí,65,Lleida,Riu de Cerdanya
CUP,9,Lleida,Riu de Cerdanya
Abstención,34,Lleida,Riner
Votos en blanco,1,Lleida,Riner
JxSí,124,Lleida,Riner
Abstención,161,Lleida,Ribera d'Urgellet
Votos en blanco,7,Lleida,Ribera d'Urgellet
JxSí,333,Lleida,Ribera d'Urgellet
PSC,2455,Barcelona,Pineda de Mar
PP,1517,Barcelona,Pineda de Mar
CatSíqueesPot,1050,Barcelona,Pineda de Mar
CUP,779,Barcelona,Pineda de Mar
unio.cat,266,Barcelona,Pineda de Mar
PACMA,95,Barcelona,Pineda de Mar
RECORTES CERO-ELS VERDS,59,Barcelona,Pineda de Mar
PSC,1009,Barcelona,Piera
CatSíqueesPot,824,Barcelona,Piera
PP,686,Barcelona,Piera
CUP,664,Barcelona,Piera
unio.cat,210,Barcelona,Piera
PACMA,97,Barcelona,Piera
RECORTES CERO-ELS VERDS,41,Barcelona,Piera
PP,10,Barcelona,Perafita
C's,6,Barcelona,Perafita
CatSíqueesPot,6,Barcelona,Perafita
PACMA,2,Barcelona,Perafita
PSC,2,Barcelona,Perafita
CatSíqueesPot,1282,Barcelona,Parets del Vallès
CUP,907,Barcelona,Parets del Vallès
PP,762,Barcelona,Parets del Vallès
unio.cat,208,Barcelona,Parets del Vallès
PACMA,112,Barcelona,Parets del Vallès
RECORTES CERO-ELS VERDS,46,Barcelona,Parets del Vallès
PSC,304,Barcelona,"Papiol, el"
CUP,238,Barcelona,"Papiol, el"
CatSíqueesPot,203,Barcelona,"Papiol, el"
PP,127,Barcelona,"Papiol, el"
unio.cat,58,Barcelona,"Papiol, el"
PACMA,21,Barcelona,"Papiol, el"
RECORTES CERO-ELS VERDS,6,Barcelona,"Papiol, el"
C's,3,Lleida,Riu de Cerdanya
PSC,2,Lleida,Riu de Cerdanya
PACMA,2,Lleida,Riu de Cerdanya
unio.cat,2,Lleida,Riu de Cerdanya
PP,1,Lleida,Riu de Cerdanya
CUP,29,Lleida,Riner
C's,8,Lleida,Riner
PP,7,Lleida,Riner
PSC,6,Lleida,Riner
unio.cat,4,Lleida,Riner
CatSíqueesPot,2,Lleida,Riner
CUP,44,Lleida,Ribera d'Urgellet
C's,31,Lleida,Ribera d'Urgellet
unio.cat,30,Lleida,Ribera d'Urgellet
PSC,27,Lleida,Ribera d'Urgellet
PP,27,Lleida,Ribera d'Urgellet
CatSíqueesPot,23,Lleida,Ribera d'Urgellet
Abstención,192,Lleida,Térmens
Votos nulos,1,Lleida,Térmens
Votos en blanco,6,Lleida,Térmens
JxSí,570,Lleida,Térmens
Abstención,14,Lleida,Tarroja de Segarra
Abstención,10,Lleida,Tarrés
JxSí,63,Lleida,Tarrés
CUP,7,Lleida,Tarrés
CatSíqueesPot,2,Lleida,Tarrés
PSC,1,Lleida,Tarrés
C's,1,Lleida,Tarrés
Abstención,2487,Lleida,Tàrrega
Votos nulos,28,Lleida,Tàrrega
Votos en blanco,79,Lleida,Tàrrega
JxSí,4845,Lleida,Tàrrega
CUP,813,Lleida,Tàrrega
Abstención,28,Lleida,Talavera
Votos nulos,1,Lleida,Talavera
JxSí,133,Lleida,Talavera
unio.cat,21,Lleida,Talavera
CUP,15,Lleida,Talavera
PP,85,Lleida,Térmens
CUP,47,Lleida,Térmens
unio.cat,40,Lleida,Térmens
C's,37,Lleida,Térmens
PSC,28,Lleida,Térmens
CatSíqueesPot,20,Lleida,Térmens
GANEMOS,2,Lleida,Térmens
RECORTES CERO-ELS VERDS,1,Lleida,Térmens
JxSí,69,Lleida,Tarroja de Segarra
CUP,38,Lleida,Tarroja de Segarra
C's,11,Lleida,Tarroja de Segarra
PP,5,Lleida,Tarroja de Segarra
CatSíqueesPot,3,Lleida,Tarroja de Segarra
RECORTES CERO-ELS VERDS,1,Lleida,Tarroja de Segarra
unio.cat,1,Lleida,Tarroja de Segarra
unio.cat,1,Lleida,Tarrés
C's,724,Lleida,Tàrrega
PSC,597,Lleida,Tàrrega
PP,419,Lleida,Tàrrega
CatSíqueesPot,310,Lleida,Tàrrega
unio.cat,248,Lleida,Tàrrega
PACMA,28,Lleida,Tàrrega
GANEMOS,7,Lleida,Tàrrega
RECORTES CERO-ELS VERDS,7,Lleida,Tàrrega
PP,13,Lleida,Talavera
C's,8,Lleida,Talavera
CatSíqueesPot,5,Lleida,Talavera
PSC,3,Lleida,Talavera
PACMA,1,Lleida,Talavera
Abstención,33,Lleida,Vilanova de l'Aguda
Votos nulos,2,Lleida,Vilanova de l'Aguda
Votos en blanco,6,Lleida,Vilanova de l'Aguda
JxSí,102,Lleida,Vilanova de l'Aguda
PP,14,Lleida,Vilanova de l'Aguda
Abstención,135,Lleida,Vilanova de Bellpuig
Votos nulos,5,Lleida,Vilanova de Bellpuig
Votos en blanco,2,Lleida,Vilanova de Bellpuig
JxSí,558,Lleida,Vilanova de Bellpuig
Abstención,34,Lleida,Vilamòs
Votos nulos,1,Lleida,Vilamòs
C's,31,Lleida,Vilamòs
PSC,16,Lleida,Vilamòs
CUP,12,Lleida,Vilanova de l'Aguda
C's,6,Lleida,Vilanova de l'Aguda
unio.cat,6,Lleida,Vilanova de l'Aguda
PSC,1,Lleida,Vilanova de l'Aguda
CUP,104,Lleida,Vilanova de Bellpuig
PP,29,Lleida,Vilanova de Bellpuig
PSC,18,Lleida,Vilanova de Bellpuig
C's,13,Lleida,Vilanova de Bellpuig
CatSíqueesPot,13,Lleida,Vilanova de Bellpuig
unio.cat,11,Lleida,Vilanova de Bellpuig
GANEMOS,2,Lleida,Vilanova de Bellpuig
JxSí,15,Lleida,Vilamòs
CUP,11,Lleida,Vilamòs
unio.cat,8,Lleida,Vilamòs
CatSíqueesPot,6,Lleida,Vilamòs
PP,4,Lleida,Vilamòs
Abstención,14,Barcelona,Viver i Serrateix
JxSí,99,Barcelona,Viver i Serrateix
CUP,12,Barcelona,Viver i Serrateix
PSC,4,Barcelona,Viver i Serrateix
PP,1,Barcelona,Viver i Serrateix
Abstención,69,Lleida,Vinaixa
Votos nulos,3,Lleida,Vinaixa
Votos en blanco,1,Lleida,Vinaixa
JxSí,213,Lleida,Vinaixa
Abstención,18,Lleida,"Vilosell, el"
JxSí,113,Lleida,"Vilosell, el"
CUP,10,Lleida,"Vilosell, el"
Abstención,122,Barcelona,Vilobí del Penedès
Votos nulos,3,Barcelona,Vilobí del Penedès
Votos en blanco,2,Barcelona,Vilobí del Penedès
JxSí,495,Barcelona,Vilobí del Penedès
Abstención,151,Lleida,Vilanova de Segrià
Votos nulos,1,Lleida,Vilanova de Segrià
Votos en blanco,2,Lleida,Vilanova de Segrià
JxSí,330,Lleida,Vilanova de Segrià
Abstención,55,Lleida,Vilanova de Meià
Votos nulos,2,Lleida,Vilanova de Meià
Votos en blanco,2,Lleida,Vilanova de Meià
JxSí,214,Lleida,Vilanova de Meià
Abstención,148,Lleida,Vilanova de la Barca
Votos nulos,3,Lleida,Vilanova de la Barca
Votos en blanco,2,Lleida,Vilanova de la Barca
JxSí,355,Lleida,Vilanova de la Barca
Abstención,2447,Barcelona,Vilassar de Mar
unio.cat,1,Barcelona,Viver i Serrateix
CUP,46,Lleida,Vinaixa
PSC,26,Lleida,Vinaixa
C's,26,Lleida,Vinaixa
PP,19,Lleida,Vinaixa
CatSíqueesPot,13,Lleida,Vinaixa
unio.cat,11,Lleida,Vinaixa
GANEMOS,2,Lleida,Vinaixa
PACMA,1,Lleida,Vinaixa
CatSíqueesPot,7,Lleida,"Vilosell, el"
C's,6,Lleida,"Vilosell, el"
unio.cat,5,Lleida,"Vilosell, el"
PP,4,Lleida,"Vilosell, el"
PSC,1,Lleida,"Vilosell, el"
CUP,73,Barcelona,Vilobí del Penedès
PSC,37,Barcelona,Vilobí del Penedès
C's,35,Barcelona,Vilobí del Penedès
PP,20,Barcelona,Vilobí del Penedès
CatSíqueesPot,18,Barcelona,Vilobí del Penedès
unio.cat,11,Barcelona,Vilobí del Penedès
PACMA,3,Barcelona,Vilobí del Penedès
RECORTES CERO-ELS VERDS,1,Barcelona,Vilobí del Penedès
CUP,64,Lleida,Vilanova de Segrià
C's,54,Lleida,Vilanova de Segrià
PP,41,Lleida,Vilanova de Segrià
PSC,23,Lleida,Vilanova de Segrià
unio.cat,22,Lleida,Vilanova de Segrià
CatSíqueesPot,17,Lleida,Vilanova de Segrià
GANEMOS,3,Lleida,Vilanova de Segrià
PACMA,1,Lleida,Vilanova de Segrià
RECORTES CERO-ELS VERDS,1,Lleida,Vilanova de Segrià
CUP,35,Lleida,Vilanova de Meià
PP,14,Lleida,Vilanova de Meià
unio.cat,11,Lleida,Vilanova de Meià
CatSíqueesPot,6,Lleida,Vilanova de Meià
PSC,5,Lleida,Vilanova de Meià
C's,2,Lleida,Vilanova de Meià
PACMA,1,Lleida,Vilanova de Meià
PSC,55,Lleida,Vilanova de la Barca
PP,48,Lleida,Vilanova de la Barca
C's,40,Lleida,Vilanova de la Barca
CUP,34,Lleida,Vilanova de la Barca
unio.cat,28,Lleida,Vilanova de la Barca
CatSíqueesPot,21,Lleida,Vilanova de la Barca
RECORTES CERO-ELS VERDS,1,Lleida,Vilanova de la Barca
Votos nulos,35,Barcelona,Vilassar de Mar
Votos en blanco,84,Barcelona,Vilassar de Mar
JxSí,6586,Barcelona,Vilassar de Mar
C's,1919,Barcelona,Vilassar de Mar
CUP,1288,Barcelona,Vilassar de Mar
PSC,881,Barcelona,Vilassar de Mar
CatSíqueesPot,810,Barcelona,Vilassar de Mar
PP,728,Barcelona,Vilassar de Mar
unio.cat,411,Barcelona,Vilassar de Mar
PACMA,71,Barcelona,Vilassar de Mar
RECORTES CERO-ELS VERDS,35,Barcelona,Vilassar de Mar
Abstención,2238,Barcelona,Vilanova del Camí
Abstención,5769,Barcelona,Vilafranca del Penedès
Votos nulos,101,Barcelona,Vilafranca del Penedès
Votos en blanco,92,Barcelona,Vilafranca del Penedès
JxSí,10748,Barcelona,Vilafranca del Penedès
Abstención,977,Barcelona,Viladecavalls
Votos nulos,15,Barcelona,Viladecavalls
Votos en blanco,25,Barcelona,Viladecavalls
Abstención,1160,Barcelona,Vilassar de Dalt
Votos nulos,19,Barcelona,Vilassar de Dalt
Votos en blanco,28,Barcelona,Vilassar de Dalt
Abstención,11118,Barcelona,Vilanova i la Geltrú
Votos nulos,112,Barcelona,Vilanova i la Geltrú
Votos en blanco,160,Barcelona,Vilanova i la Geltrú
JxSí,13679,Barcelona,Vilanova i la Geltrú
Abstención,657,Barcelona,Vilanova del Vallès
Votos nulos,8,Barcelona,Vilanova del Vallès
Votos en blanco,16,Barcelona,Vilanova del Vallès
JxSí,1409,Barcelona,Vilanova del Vallès
Abstención,35,Barcelona,Vilanova de Sau
Votos nulos,2,Barcelona,Vilanova de Sau
Votos en blanco,2,Barcelona,Vilanova de Sau
JxSí,155,Barcelona,Vilanova de Sau
Abstención,127,Barcelona,Vilalba Sasserra
Votos nulos,5,Barcelona,Vilalba Sasserra
Votos en blanco,2,Barcelona,Vilalba Sasserra
JxSí,207,Barcelona,Vilalba Sasserra
Votos nulos,24,Barcelona,Vilanova del Camí
Votos en blanco,60,Barcelona,Vilanova del Camí
C's,1932,Barcelona,Vilanova del Camí
JxSí,1528,Barcelona,Vilanova del Camí
PSC,1460,Barcelona,Vilanova del Camí
CatSíqueesPot,721,Barcelona,Vilanova del Camí
PP,634,Barcelona,Vilanova del Camí
CUP,366,Barcelona,Vilanova del Camí
unio.cat,162,Barcelona,Vilanova del Camí
PACMA,65,Barcelona,Vilanova del Camí
RECORTES CERO-ELS VERDS,31,Barcelona,Vilanova del Camí
C's,2844,Barcelona,Vilafranca del Penedès
CUP,2383,Barcelona,Vilafranca del Penedès
PSC,2254,Barcelona,Vilafranca del Penedès
PP,1216,Barcelona,Vilafranca del Penedès
CatSíqueesPot,1212,Barcelona,Vilafranca del Penedès
unio.cat,482,Barcelona,Vilafranca del Penedès
PACMA,125,Barcelona,Vilafranca del Penedès
RECORTES CERO-ELS VERDS,56,Barcelona,Vilafranca del Penedès
JxSí,1828,Barcelona,Viladecavalls
C's,1023,Barcelona,Viladecavalls
PSC,489,Barcelona,Viladecavalls
CatSíqueesPot,469,Barcelona,Viladecavalls
CUP,376,Barcelona,Viladecavalls
PP,336,Barcelona,Viladecavalls
unio.cat,84,Barcelona,Viladecavalls
PACMA,34,Barcelona,Viladecavalls
RECORTES CERO-ELS VERDS,25,Barcelona,Viladecavalls
JxSí,3127,Barcelona,Vilassar de Dalt
C's,643,Barcelona,Vilassar de Dalt
CUP,566,Barcelona,Vilassar de Dalt
PSC,437,Barcelona,Vilassar de Dalt
PP,389,Barcelona,Vilassar de Dalt
CatSíqueesPot,287,Barcelona,Vilassar de Dalt
unio.cat,171,Barcelona,Vilassar de Dalt
PACMA,22,Barcelona,Vilassar de Dalt
RECORTES CERO-ELS VERDS,11,Barcelona,Vilassar de Dalt
C's,7044,Barcelona,Vilanova i la Geltrú
PSC,4912,Barcelona,Vilanova i la Geltrú
CUP,4027,Barcelona,Vilanova i la Geltrú
CatSíqueesPot,3644,Barcelona,Vilanova i la Geltrú
PP,2264,Barcelona,Vilanova i la Geltrú
unio.cat,812,Barcelona,Vilanova i la Geltrú
PACMA,240,Barcelona,Vilanova i la Geltrú
RECORTES CERO-ELS VERDS,140,Barcelona,Vilanova i la Geltrú
C's,626,Barcelona,Vilanova del Vallès
PSC,246,Barcelona,Vilanova del Vallès
CUP,246,Barcelona,Vilanova del Vallès
CatSíqueesPot,233,Barcelona,Vilanova del Vallès
PP,207,Barcelona,Vilanova del Vallès
unio.cat,62,Barcelona,Vilanova del Vallès
Abstención,11035,Barcelona,Viladecans
Votos nulos,139,Barcelona,Viladecans
Votos en blanco,182,Barcelona,Viladecans
CUP,43,Barcelona,Vilanova de Sau
C's,12,Barcelona,Vilanova de Sau
PSC,11,Barcelona,Vilanova de Sau
CatSíqueesPot,8,Barcelona,Vilanova de Sau
PP,5,Barcelona,Vilanova de Sau
unio.cat,1,Barcelona,Vilanova de Sau
